r,theta,z,Energy,Detection Efficiency
60.0,0.0,172.0,2000,0.001852294117647
60.0,0.0,172.0,2200,0.0016469411764705
60.0,0.0,172.0,2400,0.0015054444444444
90.0,0.0,82.0,20,0.0008208888888888
90.0,0.0,82.0,30,0.0044049444444444
90.0,0.0,82.0,50,0.0180437058823529
90.0,0.0,82.0,80,0.02734575
90.0,0.0,82.0,100,0.0286975
90.0,0.0,82.0,200,0.0239221176470588
90.0,0.0,82.0,300,0.0178980555555555
90.0,0.0,82.0,500,0.0116325294117647
90.0,0.0,82.0,800,0.0080562352941176
90.0,0.0,82.0,1000,0.006750875
90.0,0.0,82.0,1200,0.0059982777777777
90.0,0.0,82.0,1400,0.0052445882352941
90.0,0.0,82.0,1600,0.004694875
90.0,0.0,82.0,1800,0.0042766666666666
90.0,0.0,82.0,2000,0.0037485882352941
90.0,0.0,82.0,2200,0.0036658823529411
90.0,0.0,82.0,2400,0.003288
90.0,0.0,112.0,20,0.0004742777777777
90.0,0.0,112.0,30,0.0030856666666666
90.0,0.0,112.0,50,0.0133788823529411
90.0,0.0,112.0,80,0.020570375
90.0,0.0,112.0,100,0.02161475
90.0,0.0,112.0,200,0.0175816470588235
90.0,0.0,112.0,300,0.013075
90.0,0.0,112.0,500,0.0085403529411764
90.0,0.0,112.0,800,0.0058905882352941
90.0,0.0,112.0,1000,0.00483625
90.0,0.0,112.0,1200,0.0043113333333333
90.0,0.0,112.0,1400,0.0038668823529411
90.0,0.0,112.0,1600,0.0034881176470588
90.0,0.0,112.0,1800,0.0032220555555555
90.0,0.0,112.0,2000,0.002954294117647
90.0,0.0,112.0,2200,0.0026286470588235
90.0,0.0,112.0,2400,0.0025227777777777
90.0,0.0,142.0,20,0.0003573888888888
90.0,0.0,142.0,30,0.0022106666666666
90.0,0.0,142.0,50,0.0098813529411764
90.0,0.0,142.0,80,0.01492125
90.0,0.0,142.0,100,0.0155805
90.0,0.0,142.0,200,0.0124422352941176
90.0,0.0,142.0,300,0.0092142222222222
90.0,0.0,142.0,500,0.0060041764705882
90.0,0.0,142.0,800,0.0041657058823529
90.0,0.0,142.0,1000,0.00348425
90.0,0.0,142.0,1200,0.0030344444444444
90.0,0.0,142.0,1400,0.0026383529411764
90.0,0.0,142.0,1600,0.0024241764705882
90.0,0.0,142.0,1800,0.0022188333333333
90.0,0.0,142.0,2000,0.0020564705882352
90.0,0.0,142.0,2200,0.001954294117647
90.0,0.0,142.0,2400,0.001696
90.0,0.0,172.0,20,0.0002808333333333
90.0,0.0,172.0,30,0.0017748888888888
90.0,0.0,172.0,50,0.0071306470588235
90.0,0.0,172.0,80,0.010692
90.0,0.0,172.0,100,0.011240625
90.0,0.0,172.0,200,0.0089707647058823
90.0,0.0,172.0,300,0.0064966111111111
90.0,0.0,172.0,500,0.0043325294117647
